,date,open,high,low,close,volume,open_int
0,2023-01-03,116.0,116.0,76.5,84.75,237,490
1,2023-01-04,82.75,96.5,73.25,84.75,231,512
2,2023-01-05,82.5,84.0,81.75,81.75,211,213
3,2023-01-06,52.25,78.25,52.25,73.0,333,418
4,2023-01-09,81.0,98.0,76.25,76.25,100,507
5,2023-01-10,66.25,69.25,60.0,69.25,59,714
6,2023-01-11,54.5,70.5,51.75,70.5,168,643
7,2023-01-12,64.25,73.75,46.5,58.0,1758,2653
8,2023-01-13,45.75,48.5,30.5,48.5,286,851
9,2023-01-17,55.0,61.25,45.25,45.25,478,1416
10,2023-01-18,91.5,91.5,43.5,43.75,223,764
11,2023-01-19,51.25,56.0,40.5,42.75,231,672
12,2023-01-20,16.75,40.5,15.0,40.0,215,1075
13,2023-01-23,17.25,46.25,16.75,35.75,581,711
14,2023-01-24,31.0,43.0,27.75,36.75,1232,985
15,2023-01-25,27.25,34.5,13.25,33.25,489,1033
16,2023-01-26,18.0,26.5,11.5,26.25,2027,966
17,2023-01-27,20.25,36.0,17.5,23.75,2448,1360
18,2023-01-30,33.5,51.25,17.0,18.5,1048,1076
19,2023-01-31,2.0,2.5,0.05,0.07,12399,0
20,2023-02-01,47.25,72.25,40.0,72.25,51,421
21,2023-02-02,52.5,73.5,52.5,70.25,389,682
22,2023-02-03,81.0,81.0,60.25,67.5,889,3692
23,2023-02-06,66.25,70.25,64.75,70.0,127,1223
24,2023-02-07,37.25,61.5,37.25,61.5,132,706
25,2023-02-08,79.0,79.25,66.5,66.5,37,592
26,2023-02-09,111.5,111.5,68.75,70.75,65,421
27,2023-02-10,64.25,66.75,53.25,66.25,587,1348
28,2023-02-13,39.0,59.5,39.0,59.5,329,4106
29,2023-02-14,62.5,66.75,33.75,47.25,1207,4178
30,2023-02-15,35.0,44.5,29.5,43.75,155,1380
31,2023-02-16,70.25,70.25,46.25,48.25,552,1639
32,2023-02-17,46.25,46.25,32.0,41.5,442,481
33,2023-02-21,63.75,65.5,40.75,40.75,301,454
34,2023-02-22,48.5,51.0,29.75,35.0,546,704
35,2023-02-23,34.0,38.75,14.0,28.75,463,902
36,2023-02-24,53.75,53.75,15.75,21.5,1080,947
37,2023-02-27,19.25,40.25,11.5,14.25,1473,1231
38,2023-02-28,22.0,28.0,0.05,0.05,5672,0
39,2023-03-01,122.5,122.5,103.0,107.75,83,386
40,2023-03-02,86.0,112.25,86.0,108.5,405,664
41,2023-03-03,81.75,100.5,81.75,99.5,406,1532
42,2023-03-06,102.25,114.25,97.25,99.0,35,1541
43,2023-03-07,115.25,115.25,96.75,99.5,46,1095
44,2023-03-08,96.5,103.25,88.25,99.5,61,1119
45,2023-03-09,165.0,165.0,105.75,105.75,25,351
46,2023-03-10,125.0,140.0,109.0,109.0,26,77
47,2023-03-13,94.75,111.75,75.0,90.25,657,278
48,2023-03-14,63.0,82.5,59.0,77.75,2951,2372
49,2023-03-15,71.5,84.75,65.0,84.0,795,600
50,2023-03-16,45.0,72.0,37.25,70.5,352,1652
51,2023-03-17,88.75,91.5,69.0,73.0,645,2568
52,2023-03-20,47.0,68.5,43.0,66.0,409,1084
53,2023-03-21,35.25,56.5,35.25,53.25,1095,2294
54,2023-03-22,100.75,100.75,55.0,55.0,577,980
55,2023-03-23,51.5,62.75,42.5,50.5,613,1015
56,2023-03-24,43.25,49.0,25.75,44.75,2472,4158
57,2023-03-27,44.5,49.25,31.75,32.5,637,1674
58,2023-03-28,40.25,45.25,23.25,29.25,2783,10668
59,2023-03-29,7.0,21.5,7.0,19.75,1939,2177
60,2023-03-30,10.0,20.25,8.25,13.0,6538,4206
61,2023-03-31,0.4,3.2,0.05,0.15,14189,0
62,2023-04-03,62.25,70.25,61.25,69.5,713,1086
63,2023-04-04,88.5,88.5,66.25,66.25,135,858
64,2023-04-05,68.5,68.5,59.75,63.25,147,665
65,2023-04-06,54.75,63.25,50.75,62.25,99,908
66,2023-04-07,61.0,62.25,59.0,62.25,64,917
67,2023-04-10,52.25,54.5,42.75,54.5,95,722
68,2023-04-11,57.25,60.25,52.0,53.25,523,859
69,2023-04-12,66.75,76.5,50.5,51.5,268,526
70,2023-04-13,28.5,49.0,28.5,47.75,348,857
71,2023-04-14,48.75,62.0,33.25,43.5,385,1582
72,2023-04-17,36.0,36.75,24.5,35.5,669,1325
73,2023-04-18,35.75,43.75,30.0,35.5,448,1410
74,2023-04-19,34.25,38.0,23.5,32.25,1146,1702
75,2023-04-20,45.25,47.75,28.25,34.25,1534,2529
76,2023-04-21,28.75,30.0,20.5,26.5,1113,1987
77,2023-04-24,24.0,27.75,17.5,23.25,1120,2039
78,2023-04-25,59.75,62.0,30.0,30.0,38,461
79,2023-04-26,48.0,48.0,16.5,19.0,791,553
80,2023-04-27,1.35,22.75,1.15,16.5,9798,5622
81,2023-04-28,1.4,5.25,0.05,0.1,30672,0
82,2023-05-01,62.5,65.75,58.75,58.75,192,1200
83,2023-05-02,64.25,66.25,57.75,66.25,186,342
84,2023-05-03,91.25,93.0,68.5,68.5,44,410
85,2023-05-04,90.0,90.25,70.0,72.0,1174,1087
86,2023-05-05,41.5,65.25,41.25,59.75,518,1701
87,2023-05-08,62.75,63.25,54.75,56.25,343,1818
88,2023-05-09,67.0,67.0,59.0,59.5,101,327
89,2023-05-10,54.75,62.0,41.5,52.0,322,1799
90,2023-05-11,63.0,64.0,44.75,50.75,1352,1454
91,2023-05-12,54.5,54.75,37.25,44.75,304,1397
92,2023-05-15,44.75,45.0,37.25,41.25,142,1713
93,2023-05-16,54.75,59.0,46.0,46.0,129,370
94,2023-05-17,20.5,44.5,20.5,40.0,601,1096
